SourceSOP,TargetSOP,RelationshipType,MentionCount
EP-01,QP-03,References,1
EP-01,QP-13,References,1
EP-02,QP-13,References,1
EP-03,QP-13,References,1
EP-04,LP-06,References,1
EP-04,QP-13,References,1
EP-05,QP-13,References,1
EP-06,QP-13,References,1
QM,LP-04,Governs,2
QM,QP-01,Governs,5
QM,QP-02,Governs,3
QM,QP-03,Governs,12
QM,QP-04,Governs,3
QM,QP-05,Governs,3
QM,QP-06,Governs,6
QM,QP-07,Governs,3
QM,QP-08,Governs,4
QM,QP-09,Governs,2
QM,QP-10,Governs,3
QM,QP-11,Governs,2
QM,QP-12,Governs,1
QM,QP-13,Governs,2
QM,QP-14,Governs,5
QM,QP-15,Governs,6
QM,QP-16,Governs,1
QM,QP-17,Governs,2
QM,QP-18,Governs,1
QP-03,QP-05,References,1
QP-03,QP-13,References,1
QP-06,QP-05,References,1
QP-07,QP-15,References,1
QP-08,QP-06,References,1
QP-09,QP-07,References,3
QP-09,QP-10,References,2
QP-09,QP-11,References,1
QP-09,QP-14,References,2
QP-09,QP-18,References,1
QP-10,QP-13,References,1
QP-10,QP-14,References,1
QP-12,QP-13,References,1
QP-12,QP-15,References,1
QP-12,QP-18,References,1
QP-13,LP-03,References,1
QP-13,QP-16,References,2
QP-14,EP-01,References,1
QP-14,LP-01,References,1
QP-14,QP-01,References,3
QP-15,QP-14,References,1
QP-16,QP-13,References,1
QP-16,QP-15,References,1
QP-17,QP-13,References,1
QP-17,QP-16,References,1
QP-18,QP-13,References,1
QP-18,QP-16,References,1
